Codigo,Descripcion,Cupo,Watts,Industrial,Refrigerado,Pesable
30000338,PREP HELADO BOCADO TETRA 12X1,0.03,1,1,0,0
30000337,PREP HELADO CHOC TETRA12X1,0.03,1,1,0,0
30000336,PREP HELADO FRUTILLA TETRA 12*1,0.03,1,1,0,0
30000335,QUESO PIZZERIAS 2X3.5 KG,0.03,1,1,1,0
30000334,CREMA PARA BATIR LONCO 12X1,0.03,1,0,0,0
30000332,LECHE VAINILLA LONCO 12X1 LT,0.03,1,0,0,0
30000331,LECHE PLATANO LONCO 12X1 LT,0.03,1,0,0,0
30000330,LECHE FRUTILLA LONCO 12X1 LT,0.03,1,0,0,0
30000329,LECHE CHOCOLATE LONCO 12X1 LT,0.03,1,0,0,0
30000328,LECHE LCO S/LACTOSA CHOCO 12*1,0.03,1,0,0,0
30000327,LECHE LCO S/LOACTOSA FRUTILLA 12X1,0.03,1,0,0,0
30000326,LECHE S/LACTOSASEMI LONCO 12X1 LT,0.03,1,0,0,0
30000325,LECHE LONCO S/LAC NAT ENT 12X1,0.03,1,0,0,0
30000321,L POLVO LONCO S/LAC 10X800GRS,0.03,1,0,0,0
30000318,YOGU YUGO CHIRIMOYA 30X200,0.03,1,0,0,0
30000317,SUPER CALO CHOCOLATE 12X1 LT,0.03,1,0,0,0
30000311,SHAKE SHAKE MANJAR 30X170,0.03,1,0,0,0
30000310,SHAKE SHAKE CHOCOLATE 30X170,0.03,1,0,0,0
30000309,YOGU YOGU MORA 30X200,0.03,1,0,0,0
30000308,YOGU YOGU VAINILLA 30X200,0.03,1,0,0,0
30000307,YOGU YOGU PIÑA 30X200,0.03,1,0,0,0
30000306,YOGU YOGU DAMASCO 30X200,0.03,1,0,0,0
30000305,YOGU YOGU FRUTILLA 30X200,0.03,1,0,0,0
30000304,QUESO GAUDA CALO P-3,0.05,1,0,1,1
30000303,MANTEQUILLA PANIF LONCO 10X1,0.03,1,1,1,0
30000302,MANTEQUILLA CALO 20X250,0.03,1,0,1,0
30000301,MANTEQUILLA CALO 40X125,0.05,1,0,1,0
30000300,LECHE PLATANO LONCO 30X200,0.03,1,0,0,0
30000298,QUESO MANTECOSO SAN RAFAEL T8,0.03,1,0,1,1
30000295,VINO TTO R.MLIA 14.5 6X750CC,0.03,1,0,0,0
30000293,VINO TTO R.FMLIA CS 14.5 6X750 CC,0.03,1,0,0,0
30000292,VINO TTO ORO CR 14.5 12X750CC,0.03,1,0,0,0
30000291,VINO BCO ORO CY BOT 14° 12X750 CC,0.03,1,0,0,0
30000290,VINO TTO ORO MER 14.5 12X750CC,0.03,1,0,0,0
30000289,VINO BCO ORO SB 13.5 12X750CC,0.03,1,0,0,0
30000288,VINO TTO ORO CS 14 12X750CC,0.03,1,0,0,0
30000287,VINO TTO 3EST CR 13.5 12X750CC,0.03,1,0,0,0
30000286,VINO TTO VSC CABER BOT 145° 6X750,0.03,1,0,0,0
30000282,VINO TTO 2EST CS 13.5º 12X700C,0.03,1,0,0,0
30000275,VINO BCO 3EST SAUV 13.5 12X750,0.03,1,0,0,0
30000274,VINO TTO 3EST MER 13.5 12X750,0.03,1,0,0,0
30000273,VINO TTO 3EST CAB 13.5 12X750,0.03,1,0,0,0
30000270,JALEA REGI MARACUYA 6X4X100,0.03,1,0,1,0
30000268,SALSA TOM DAMP SACHET 24X200,0.03,1,0,0,0
30000260,NEC W SELECCION LIMONADA 6X1 LT,0.03,1,0,1,0
30000253,NEC W SELECCION MGOMARAC 6X1 LT,0.03,1,0,1,0
30000252,NEC W SELECCION FRAM 6X1 LT,0.03,1,0,1,0
30000251,NEC W SELECCION GUAYABA 6X1,0.03,1,0,1,0
30000250,JUGO FRESCO ARANDANO 6X1 LT,0.03,1,0,1,0
30000248,NECTAR WATTS PIÑA 12X1,0.03,1,0,0,0
30000247,NECTAR WATT´S DAMASCO 12X1 LT,0.03,1,0,0,0
30000246,NECTAR WATTS DURAZNO 12X1,0.03,1,0,0,0
30000245,NECTAR WATTS MANZANA 12X1,0.03,1,0,0,0
30000244,NECTAR WATTS NARANJA 12X1X,0.03,1,0,0,0
30000242,JUGO FRESCO PIÑA LIGHT 6X1 LT,0.03,1,0,1,0
30000240,JUGO FRESCO NARANJA LIGHT 6X1,0.03,1,0,1,0
30000239,JUGO FRESCO PIÑA 6*1,0.03,1,0,1,0
30000238,JUGO FRESCO NARANJA 6X1,0.03,1,0,1,0
30000205,JUGO FRESCO NARANJA 6X175,0.03,1,0,1,0
30000201,JARABE DE REMOJO 4X5 LT,0.03,1,1,0,0
30000195,DULCE MEMBRILLO WATT´S 12X1 KG,0.03,1,0,0,0
30000194,DULCE MEMBRILLO WATTS 12X250,0.03,1,0,0,0
30000193,DULCE MORA 12X500,0.03,1,0,0,0
30000192,DULCE MEMBRILLO 12X500,0.03,1,0,0,0
30000190,DULCE CIRUELA 12X500 GR,0.03,1,0,0,0
30000188,DULCE MEMBRILLO POTE 12*500,0.03,1,0,0,0
30000187,MERMELADA W GOLD LUCUMA 5 KLS.,0.03,1,1,0,0
30000186,MERMELADA W GOLD PINA 5 KLS.,0.03,1,1,0,0
30000185,MERM W GOLD FRAMBUESA 5 GLN,0.03,1,1,0,0
30000184,MERM W GOLD FRUTILLA 5 KILOS,0.03,1,1,0,0
30000183,MERMELADA W. GOLD GUINDA 5 KILOS,0.03,1,1,0,0
30000182,MERMELADA W GOLD MORA 5 KILOS,0.03,1,1,0,0
30000181,MERM W GOLD DAMASCO 5 GLN,0.03,1,1,0,0
30000180,MER W S/AZUCHARANDAN 24X200,0.03,1,0,0,0
30000179,MERMELADA W S/AZU SACH FRAMB 24X200,0.03,1,0,0,0
30000178,MERMELADA W S/AZU SACH MORA 24X200,0.03,1,0,0,0
30000177,MERM W S/A SACH DSCO 24X200G,0.03,1,0,0,0
30000176,MERM W S/A SACH DZNO 24X200G,0.03,1,0,0,0
30000173,MERM W S/A DOYP DZNO 12X350,0.03,1,0,0,0
30000172,MERME BERRIES DOYP S/A 12X350,0.03,1,0,0,0
30000169,MERM W S/A SACH FRUTI 24X200G,0.03,1,0,0,0
30000167,MERMELADA WATTS DAMASCO 12X400,0.03,1,0,0,0
30000166,MERMELADA WATTS FRUT 12X400,0.03,1,0,0,0
30000165,MERMELADA WATTS MORA 12X400,0.03,1,0,0,0
30000164,MERMELADA WATT IND GUINDA 6X1,0.03,1,1,0,0
30000163,MERMELADA WATTS IND DAMASCO6X1,0.03,1,1,0,0
30000162,MERMELADA WATTS INDU FRAMB 6X1,0.03,1,1,0,0
30000161,MERMELADA ALCAYOTA DIET 24X250,0.03,1,0,0,0
30000157,MERMELADA FRAMBUESA DIET24X250,0.03,1,0,0,0
30000156,MERMELADA FRUTILLA DIET 24X250,0.03,1,0,0,0
30000155,MERMELADA MORA DIET 24X250,0.03,1,0,0,0
30000154,MERMELADA DURAZNO DIET 24X250,0.03,1,0,0,0
30000153,MERMELADA DAMASCO DIET 24X250,0.03,1,0,0,0
30000152,MERMELADA FRUTILLA LL24X250,0.03,1,0,0,0
30000151,MERMELADA MORA L.L. 24X250,0.03,1,0,0,0
30000150,MERMELADA DURAZNO LL 24X250,0.03,1,0,0,0
30000149,MERMELADA DAMASCO LL 24X250,0.03,1,0,0,0
30000147,MERMELADA FRAMBUESA 24X250,0.03,1,0,0,0
30000146,MERMELADA FRUTILLA 24X250 WATTS,0.03,1,0,0,0
30000145,MERMELADA CIRUELA 24X250,0.03,1,0,0,0
30000144,MERMELADA ALCAYOTA 24X250 WATTS,0.03,1,0,0,0
30000143,MERMELADA MORA 24X250 WATTS,0.03,1,0,0,0
30000142,MERMELADA DURAZNO 24X250 WATTS,0.03,1,0,0,0
30000141,MERMELADA DAMASCO 24X250 WATTS,0.03,1,0,0,0
30000140,MER SACH FRUTAS DEL SUR 24*250,0.03,1,0,0,0
30000139,MERMELADA MORA 12X250XGRS,0.03,1,0,0,0
30000138,MERMELADA FRUTILLA 12X250GRS,0.03,1,0,0,0
30000137,MERMELADA DAMASCO 12X250GRS,0.03,1,0,0,0
30000136,MERMELADA DURAZNO 12X250XGRS,0.03,1,0,0,0
30000133,MERM W GOLD/TAMIZ DCO GLN 5 K,0.03,1,1,0,0
30000128,CRUCINA SABOR PLUS 10*1,0.03,1,1,1,0
30000120,CRUCINA ESPECIAL CERDO 10*1,0.03,1,1,1,0
30000119,MANTECA PALMIN 6X12X100GRS,0.03,1,0,1,0
30000118,CRUCINA 20X1,0.03,1,1,1,0
30000117,MANTECA PALMIN 40X200,0.03,1,0,1,0
30000116,MANTECA ASTRA 6X12X100GRDISPLAY,0.03,1,0,1,0
30000115,MANTECA ASTRA 40X200 GR,0.03,1,0,1,0
30000114,CRUCINA PANADERA 10X1,0.03,1,1,1,0
30000112,CRUCINA ESPECIAL VACUNO 10X1,0.03,1,1,1,0
30000111,CRUCINA PLUS 10X1 KG,0.03,1,1,1,0
30000110,HORNITO PANADERIA BOLSA 10X1KG,0.03,1,1,1,0
30000109,BATERKRIM 1X20 KG,0.03,1,1,1,0
30000108,HORNITO HOJA 1X20 KGS,0.03,1,1,1,0
30000107,HORNITO HORNEO 1X20,0.03,1,1,1,0
30000106,CONDESA HORNEO VEGETAL 20X1,0.03,1,1,1,0
30000105,CONDESA BATERKRIM VEGETAL 20X1,0.03,1,1,1,0
30000104,HORNITO HOJA 20X1,0.03,1,1,1,0
30000103,HORNITO HORNEO 20X1,0.03,1,1,1,0
30000102,CONDESA HOJA VEGETAL 10X2,0.03,1,1,1,0
30000100,MARG LCO UNTAB A.OLIVA 24X250,0.03,1,0,1,0
30000099,MARG LCO UNTAB A.COCO 24X250,0.03,1,0,1,0
30000097,MARGARINA CALO MIX 12X350,0.03,1,0,1,0
30000093,MARGARI SUREÑA POTE MIX 12X500,0.03,1,0,1,0
30000091,CRUCINA PANADERA VEGETAL 10X1,0.03,1,1,1,0
30000090,MANTECA CRUCINA 6X12X100,0.03,1,0,1,0
30000088,MARG LONCO C/L SIN LACT 12X500,0.03,1,0,1,0
30000086,MANTEQ LONCO S/COLPOTE 24X250,0.03,1,0,1,0
30000083,MARGARINA CALO LIGHT 12X500,0.03,1,0,1,0
30000079,MANTECA CRUCINA 40X200GR,0.03,1,0,1,0
30000077,GRASA PAMPERO BLOQUE 10X1,0.03,1,1,1,0
30000075,MARG. CALO CAJA 6X12X125G DISPLAY,0.03,1,0,1,0
30000074,MARG. PAMPERITA 10X1 BOLSA,0.03,1,0,1,0
30000073,MARG PAMPERITA 10X1,0.03,1,0,1,0
30000072,MARGARINA SUREÑA DIET12X500,0.03,1,0,1,0
30000071,MARGARINA SUREÑA 12x500,0.03,1,0,1,0
30000070,MARGARINA SUREÑA 6X1,0.03,1,0,1,0
30000069,MARGARINA SUREÑA 6X12X125G DISPLAY,0.03,1,0,1,0
30000068,MARGARINA SUREÑA LIGHT 6X1KG,0.03,1,0,1,0
30000066,MARG. PAMPERITA 6X12X100 DISPLAY,0.03,1,0,1,0
30000065,CRUZTECA FRITO MASTER ST 2X10,0.03,1,1,0,0
30000063,AC BELMONT VEG 16*900,0.03,1,0,0,0
30000061,ACEITE BELMONT CANOLA 12X1,0.03,1,0,0,0
30000057,AC. CHEF MARAVILLA 4X5 LT,0.03,1,0,0,0
30000055,AC. CHEF PEPITA UVA 30X500,0.03,1,0,0,0
30000054,AC. CHEF PEPITA UVA 12X1,0.03,1,0,0,0
30000053,AC. CHEF OLIVA 12X1 LT,0.03,1,0,0,0
30000052,AC. MAIZ 12X1 LT,0.03,1,0,0,0
30000050,AC. CHEF MARAVILLA 30X500ML,0.03,1,0,0,0
30000049,AC. CHEF MARAVILLA 12*1,0.03,1,0,0,0
30000048,ACEITE INDU L. REINA FREIR 4X5,0.03,1,0,0,0
30000047,ACEITE INDUS L.REINA VEG 4X5L,0.03,1,0,0,0
30000046,AC. MAZOLA CANOLA 12X1 LT,0.03,1,0,0,0
30000045,AC. MAZOLA MAIZ 12X1 LTRS,0.03,1,0,0,0
30000043,ACEITE BELMONT FREIR 12X1 LT,0.03,1,0,0,0
